H (T), W/4pi
0.00,0.5389145249568290
0.01,0.5402948746310667
0.02,0.5327118145190222
0.03,0.5271944993650955
0.04,0.5128116711808721
0.05,0.4965065438618440
0.06,0.4911320264959547
0.07,0.4849300172405392
0.08,0.4775515680863984
0.09,0.4676467511869571
0.10,0.3040383734491494
0.11,0.0000168443020068
0.12,0.0000660980098002
0.13,0.0001081412593647
0.14,0.0001294416084354
