H (T), W/4pi
0.00,0.6116935424530011
0.01,0.6083489291336830
0.02,0.6043502689705622
0.03,0.5994271311301758
0.04,0.5858725955465049
0.05,0.5782719884159051
0.06,0.5755523009518001
0.07,0.5688463055560021
0.08,0.5603049791703860
0.09,0.0021640703819229
0.10,0.0021409802141867
0.11,0.0000000000000000
0.12,0.0000000000000000
0.13,0.0000000000000000
0.14,0.0000000000000000
