-0.0016742379, -0.0021698764, -0.0027730686, -0.0034938708, -0.0043388214, -0.00530928, -0.0063996483, -0.0075956145, -0.008872605, -0.010194645, -0.011513903, -0.012771128, -0.013897256, -0.01481629, -0.015449558, -0.015721189, -0.015564533, -0.014929005, -0.013786616, -0.012137374, -0.010012678, -0.007476016, -0.00462049, -0.001563186, 0.001563186, 0.00462049, 0.007476016, 0.010012678, 0.012137374, 0.013786616, 0.014929005, 0.015564533, 0.015721189, 0.015449558, 0.01481629, 0.013897256, 0.012771128, 0.011513903, 0.010194645, 0.008872605, 0.0075956145, 0.0063996483, 0.00530928, 0.0043388214, 0.0034938708, 0.0027730686, 0.0021698764, 0.0016742379
-0.0022663155, -0.0029407388, -0.0037631027, -0.004747953, -0.005905273, -0.0072382055, -0.00874057, -0.0103943655, -0.012167472, -0.014011865, -0.01586267, -0.017638441, -0.019243017, -0.020569228, -0.021504644, -0.021939253, -0.021774724, -0.020934528, -0.019373892, -0.017088285, -0.014119017, -0.010554857, -0.006528757, -0.0022097134, 0.0022097134, 0.006528757, 0.010554857, 0.014119017, 0.017088285, 0.019373892, 0.020934528, 0.021774724, 0.021939253, 0.021504644, 0.020569228, 0.019243017, 0.017638441, 0.01586267, 0.014011865, 0.012167472, 0.0103943655, 0.00874057, 0.0072382055, 0.005905273, 0.004747953, 0.0037631027, 0.0029407388, 0.0022663155
-0.0030310287, -0.003938131, -0.0050466014, -0.0063773477, -0.007945508, -0.009757373, -0.011806974, -0.014072549, -0.016513167, -0.019065939, -0.021644214, -0.024137396, -0.026412854, -0.028320538, -0.029700533, -0.03039371, -0.030255036, -0.029168552, -0.027062587, -0.023923084, -0.019802937, -0.014825255, -0.009179237, -0.0031083366, 0.0031083366, 0.009179237, 0.014825255, 0.019802937, 0.023923084, 0.027062587, 0.029168552, 0.030255036, 0.03039371, 0.029700533, 0.028320538, 0.026412854, 0.024137396, 0.021644214, 0.019065939, 0.016513167, 0.014072549, 0.011806974, 0.009757373, 0.007945508, 0.0063773477, 0.0050466014, 0.003938131, 0.0030310287
-0.004005169, -0.005211168, -0.006688438, -0.008466829, -0.010569127, -0.013006962, -0.015776157, -0.018851798, -0.022183314, -0.025690112, -0.02925838, -0.032739826, -0.035953276, -0.03869001, -0.040723495, -0.041823998, -0.041777585, -0.040408377, -0.037601773, -0.03332559, -0.027645381, -0.020730738, -0.012850162, -0.004353891, 0.004353891, 0.012850162, 0.020730738, 0.027645381, 0.03332559, 0.037601773, 0.040408377, 0.041777585, 0.041823998, 0.040723495, 0.03869001, 0.035953276, 0.032739826, 0.02925838, 0.025690112, 0.022183314, 0.018851798, 0.015776157, 0.013006962, 0.010569127, 0.008466829, 0.006688438, 0.005211168, 0.004005169
-0.005228836, -0.0068137767, -0.008760431, -0.011111134, -0.013899912, -0.017147116, -0.020853214, -0.024991935, -0.029503189, -0.034286313, -0.039194502, -0.04403157, -0.04855234, -0.052468207, -0.055459388, -0.057194628, -0.057358403, -0.05568403, -0.0519894, -0.04621022, -0.03842508, -0.02886666, -0.017915271, -0.0060738036, 0.0060738036, 0.017915271, 0.02886666, 0.03842508, 0.04621022, 0.0519894, 0.05568403, 0.057358403, 0.057194628, 0.055459388, 0.052468207, 0.04855234, 0.04403157, 0.039194502, 0.034286313, 0.029503189, 0.024991935, 0.020853214, 0.017147116, 0.013899912, 0.011111134, 0.008760431, 0.0068137767, 0.005228836
-0.0067442204, -0.008803222, -0.011339649, -0.01441312, -0.018073987, -0.022356454, -0.02727037, -0.032791868, -0.038853195, -0.045332395, -0.052043922, -0.058731697, -0.06506679, -0.070652194, -0.075037464, -0.07774532, -0.07831081, -0.07633096, -0.07151996, -0.0637614, -0.053147968, -0.03999964, -0.02485452, -0.008431456, 0.008431456, 0.02485452, 0.03999964, 0.053147968, 0.0637614, 0.07151996, 0.07633096, 0.07831081, 0.07774532, 0.075037464, 0.070652194, 0.06506679, 0.058731697, 0.052043922, 0.045332395, 0.038853195, 0.032791868, 0.02727037, 0.022356454, 0.018073987, 0.01441312, 0.011339649, 0.008803222, 0.0067442204
-0.0085938135, -0.011237876, -0.01450571, -0.018480642, -0.023236437, -0.028828675, -0.035284102, -0.042587962, -0.050669543, -0.05938652, -0.06850945, -0.07770841, -0.08654509, -0.09447476, -0.100863144, -0.10502247, -0.106269, -0.10399907, -0.09777484, -0.0874054, -0.07300648, -0.05502507, -0.034221992, -0.011614267, 0.011614267, 0.034221992, 0.05502507, 0.07300648, 0.0874054, 0.09777484, 0.10399907, 0.106269, 0.10502247, 0.100863144, 0.09447476, 0.08654509, 0.07770841, 0.06850945, 0.05938652, 0.050669543, 0.042587962, 0.035284102, 0.028828675, 0.023236437, 0.018480642, 0.01450571, 0.011237876, 0.0085938135
-0.010817996, -0.0141741345, -0.018336955, -0.02342193, -0.029535923, -0.036766637, -0.04516905, -0.05474847, -0.06544011, -0.077085495, -0.08940713, -0.10198407, -0.11423362, -0.1254069, -0.13460739, -0.14084227, -0.14311056, -0.14052363, -0.13244013, -0.11858811, -0.09914519, -0.074758425, -0.046501476, -0.015782036, 0.015782036, 0.046501476, 0.074758425, 0.09914519, 0.11858811, 0.13244013, 0.14052363, 0.14311056, 0.14084227, 0.13460739, 0.1254069, 0.11423362, 0.10198407, 0.08940713, 0.077085495, 0.06544011, 0.05474847, 0.04516905, 0.036766637, 0.029535923, 0.02342193, 0.018336955, 0.0141741345, 0.010817996
-0.013452014, -0.017662458, -0.02290536, -0.02933922, -0.037116915, -0.046373166, -0.057207547, -0.06966206, -0.08369228, -0.09913195, -0.11565145, -0.13271467, -0.14954174, -0.16509204, -0.17808607, -0.18708523, -0.19063833, -0.18748169, -0.17675225, -0.15815736, -0.13205402, -0.09942378, -0.0617655, -0.020947358, 0.020947358, 0.0617655, 0.09942378, 0.13205402, 0.15815736, 0.17675225, 0.18748169, 0.19063833, 0.18708523, 0.17808607, 0.16509204, 0.14954174, 0.13271467, 0.11565145, 0.09913195, 0.08369228, 0.06966206, 0.057207547, 0.046373166, 0.037116915, 0.02933922, 0.02290536, 0.017662458, 0.013452014
-0.016522355, -0.021742547, -0.028270187, -0.036320504, -0.046109177, -0.05783788, -0.071673386, -0.08771797, -0.10596863, -0.12626286, -0.14821103, -0.17112023, -0.1939235, -0.21514216, -0.23291992, -0.24516837, -0.24983415, -0.24524319, -0.23042096, -0.20527707, -0.17060187, -0.12790895, -0.07921215, -0.026819294, 0.026819294, 0.07921215, 0.12790895, 0.17060187, 0.20527707, 0.23042096, 0.24524319, 0.24983415, 0.24516837, 0.23291992, 0.21514216, 0.1939235, 0.17112023, 0.14821103, 0.12626286, 0.10596863, 0.08771797, 0.071673386, 0.05783788, 0.046109177, 0.036320504, 0.028270187, 0.021742547, 0.016522355
-0.020042717, -0.026437784, -0.034470417, -0.04442939, -0.056614283, -0.071319446, -0.08880855, -0.10927538, -0.13278499, -0.15918963, -0.18801615, -0.21833229, -0.24861875, -0.2767056, -0.2998587, -0.31508774, -0.31966186, -0.31167787, -0.29044455, -0.25652704, -0.21148989, -0.1575193, -0.09709607, -0.032795724, 0.032795724, 0.09709607, 0.1575193, 0.21148989, 0.25652704, 0.29044455, 0.31167787, 0.31966186, 0.31508774, 0.2998587, 0.2767056, 0.24861875, 0.21833229, 0.18801615, 0.15918963, 0.13278499, 0.10927538, 0.08880855, 0.071319446, 0.056614283, 0.04442939, 0.034470417, 0.026437784, 0.020042717
-0.02400972, -0.031749193, -0.04151632, -0.053693313, -0.06868925, -0.08692291, -0.10879178, -0.13461897, -0.16456617, -0.19849947, -0.23579885, -0.27512535, -0.3142054, -0.3497678, -0.37781036, -0.39428982, -0.3960608, -0.381622, -0.35128137, -0.30674648, -0.25048712, -0.18521705, -0.11362242, -0.0382867, 0.0382867, 0.11362242, 0.18521705, 0.25048712, 0.30674648, 0.35128137, 0.381622, 0.3960608, 0.39428982, 0.37781036, 0.3497678, 0.3142054, 0.27512535, 0.23579885, 0.19849947, 0.16456617, 0.13461897, 0.10879178, 0.08692291, 0.06868925, 0.053693313, 0.04151632, 0.031749193, 0.02400972
-0.028398741, -0.03764938, -0.049380556, -0.064090624, -0.08232787, -0.10467266, -0.13169904, -0.1639004, -0.20155627, -0.24451225, -0.2918568, -0.3415276, -0.39000008, -0.43235847, -0.46306226, -0.47734442, -0.4725579, -0.44863167, -0.4074775, -0.3519562, -0.28507113, -0.2096165, -0.12815431, -0.04311487, 0.04311487, 0.12815431, 0.2096165, 0.28507113, 0.3519562, 0.4074775, 0.44863167, 0.4725579, 0.47734442, 0.46306226, 0.43235847, 0.39000008, 0.3415276, 0.2918568, 0.24451225, 0.20155627, 0.1639004, 0.13169904, 0.10467266, 0.08232787, 0.064090624, 0.049380556, 0.03764938, 0.028398741
-0.03316027, -0.044076916, -0.057989676, -0.07553764, -0.097440965, -0.12448243, -0.15745795, -0.197068, -0.24370728, -0.29710105, -0.3557643, -0.41639027, -0.47353548, -0.52020615, -0.5496426, -0.5575273, -0.5430814, -0.5083811, -0.45677254, -0.39160445, -0.31573227, -0.23158273, -0.14141831, -0.04755634, 0.04755634, 0.14141831, 0.23158273, 0.31573227, 0.39160445, 0.45677254, 0.5083811, 0.5430814, 0.5575273, 0.5496426, 0.52020615, 0.47353548, 0.41639027, 0.3557643, 0.29710105, 0.24370728, 0.197068, 0.15745795, 0.12448243, 0.097440965, 0.07553764, 0.057989676, 0.044076916, 0.03316027
-0.03821733, -0.050932053, -0.06721699, -0.087877005, -0.11383769, -0.14612558, -0.18580054, -0.23379181, -0.2905615, -0.35550934, -0.42611495, -0.49711892, -0.560549, -0.6074998, -0.6312858, -0.6297379, -0.6048343, -0.56049335, -0.5005687, -0.42800707, -0.34473413, -0.2525802, -0.15402724, -0.051744655, 0.051744655, 0.15402724, 0.2525802, 0.34473413, 0.42800707, 0.5005687, 0.56049335, 0.6048343, 0.6297379, 0.6312858, 0.6074998, 0.560549, 0.49711892, 0.42611495, 0.35550934, 0.2905615, 0.23379181, 0.18580054, 0.14612558, 0.11383769, 0.087877005, 0.06721699, 0.050932053, 0.03821733
-0.04346446, -0.058074497, -0.07687821, -0.10086964, -0.1312112, -0.1692104, -0.21622272, -0.2733997, -0.34115544, -0.41822842, -0.50043344, -0.5798379, -0.6458189, -0.6887102, -0.70382476, -0.69231564, -0.65862894, -0.6074402, -0.54172504, -0.46208167, -0.3701637, -0.26924884, -0.16306724, -0.054553784, 0.054553784, 0.16306724, 0.26924884, 0.3701637, 0.46208167, 0.54172504, 0.6074402, 0.65862894, 0.69231564, 0.70382476, 0.6887102, 0.6458189, 0.5798379, 0.50043344, 0.41822842, 0.34115544, 0.2733997, 0.21622272, 0.1692104, 0.1312112, 0.10086964, 0.07687821, 0.058074497, 0.04346446
-0.048768874, -0.06532417, -0.0867311, -0.11419207, -0.14913185, -0.19316667, -0.247961, -0.31484324, -0.3939859, -0.48301268, -0.57539135, -0.6601013, -0.72458875, -0.760314, -0.7661235, -0.7464461, -0.70709157, -0.6512425, -0.5776792, -0.48707578, -0.38370785, -0.27395308, -0.16328987, -0.05412962, 0.05412962, 0.16328987, 0.27395308, 0.38370785, 0.48707578, 0.5776792, 0.6512425, 0.70709157, 0.7464461, 0.7661235, 0.760314, 0.72458875, 0.6601013, 0.57539135, 0.48301268, 0.3939859, 0.31484324, 0.247961, 0.19316667, 0.14913185, 0.11419207, 0.0867311, 0.06532417, 0.048768874
-0.053974096, -0.07246567, -0.0964806, -0.1274418, -0.16705209, -0.21724965, -0.2799975, -0.35671383, -0.44707176, -0.547081, -0.64733094, -0.7338884, -0.79373294, -0.82123107, -0.81918263, -0.79434484, -0.7514336, -0.68744695, -0.60009164, -0.4931155, -0.37619647, -0.26007926, -0.1510912, -0.04938287, 0.04938287, 0.1510912, 0.26007926, 0.37619647, 0.4931155, 0.60009164, 0.68744695, 0.7514336, 0.79434484, 0.81918263, 0.82123107, 0.79373294, 0.7338884, 0.64733094, 0.547081, 0.44707176, 0.35671383, 0.2799975, 0.21724965, 0.16705209, 0.1274418, 0.0964806, 0.07246567, 0.053974096
-0.05890645, -0.07925683, -0.105790116, -0.14015207, -0.18432604, -0.24056715, -0.31110176, -0.39732042, -0.49811998, -0.6074734, -0.71290934, -0.7983668, -0.8519984, -0.8720204, -0.86461854, -0.83721143, -0.7877444, -0.70919925, -0.6011333, -0.47420225, -0.34568006, -0.22914952, -0.12893581, -0.041419666, 0.041419666, 0.12893581, 0.22914952, 0.34568006, 0.47420225, 0.6011333, 0.70919925, 0.7877444, 0.83721143, 0.86461854, 0.8720204, 0.8519984, 0.7983668, 0.71290934, 0.6074734, 0.49811998, 0.39732042, 0.31110176, 0.24056715, 0.18432604, 0.14015207, 0.105790116, 0.07925683, 0.05890645
-0.06338406, -0.08544142, -0.11429918, -0.15181658, -0.20024428, -0.2621302, -0.3399099, -0.4348231, -0.5447642, -0.6614483, -0.7695811, -0.8520736, -0.89944357, -0.91374373, -0.9035705, -0.872821, -0.81179297, -0.712278, -0.5795805, -0.43469208, -0.3008502, -0.19028921, -0.10319514, -0.0324644, 0.0324644, 0.10319514, 0.19028921, 0.3008502, 0.43469208, 0.5795805, 0.712278, 0.81179297, 0.872821, 0.9035705, 0.91374373, 0.89944357, 0.8520736, 0.7695811, 0.6614483, 0.5447642, 0.4348231, 0.3399099, 0.2621302, 0.20024428, 0.15181658, 0.11429918, 0.08544142, 0.06338406
-0.06722798, -0.09076511, -0.121646605, -0.16192295, -0.21408258, -0.28092498, -0.3650324, -0.46739876, -0.5848107, -0.7067792, -0.8157467, -0.8945969, -0.9366623, -0.9471968, -0.9357069, -0.89896905, -0.82223105, -0.6986506, -0.5432115, -0.38680744, -0.25384492, -0.15230957, -0.07871656, -0.024001226, 0.024001226, 0.07871656, 0.15230957, 0.25384492, 0.38680744, 0.5432115, 0.6986506, 0.82223105, 0.89896905, 0.9357069, 0.9471968, 0.9366623, 0.8945969, 0.8157467, 0.7067792, 0.5848107, 0.46739876, 0.3650324, 0.28092498, 0.21408258, 0.16192295, 0.121646605, 0.09076511, 0.06722798
-0.07027455, -0.09499372, -0.12749718, -0.16999204, -0.22515994, -0.29599735, -0.3851755, -0.4934056, -0.6164274, -0.7418719, -0.85060424, -0.9260852, -0.9642359, -0.9726474, -0.9598047, -0.9154461, -0.82185924, -0.67620605, -0.504129, -0.34252053, -0.2132334, -0.12000613, -0.05751206, -0.016484736, 0.016484736, 0.05751206, 0.12000613, 0.2132334, 0.34252053, 0.504129, 0.67620605, 0.82185924, 0.9154461, 0.9598047, 0.9726474, 0.9642359, 0.9260852, 0.85060424, 0.7418719, 0.6164274, 0.4934056, 0.3851755, 0.29599735, 0.22515994, 0.16999204, 0.12749718, 0.09499372, 0.07027455
-0.07238768, -0.09793136, -0.13156907, -0.17561887, -0.23289853, -0.30653906, -0.39925656, -0.5115162, -0.63824344, -0.7657175, -0.87386477, -0.9468534, -0.9825163, -0.9899282, -0.9755058, -0.92404765, -0.81644934, -0.65472853, -0.47276467, -0.30958542, -0.18367198, -0.095853426, -0.040442597, -0.009871554, 0.009871554, 0.040442597, 0.095853426, 0.18367198, 0.30958542, 0.47276467, 0.65472853, 0.81644934, 0.92404765, 0.9755058, 0.9899282, 0.9825163, 0.9468534, 0.87386477, 0.7657175, 0.63824344, 0.5115162, 0.39925656, 0.30653906, 0.23289853, 0.17561887, 0.13156907, 0.09793136, 0.07238768
-0.073469736, -0.0994371, -0.13365847, -0.17850955, -0.23687835, -0.3119639, -0.4064994, -0.5208072, -0.6493681, -0.7777595, -0.8854845, -0.9571675, -0.99164206, -0.99868315, -0.9831484, -0.92741436, -0.8119442, -0.64197725, -0.45561635, -0.29217958, -0.16800858, -0.08242368, -0.02961466, -0.0043355995, 0.0043355995, 0.02961466, 0.08242368, 0.16800858, 0.29217958, 0.45561635, 0.64197725, 0.8119442, 0.92741436, 0.9831484, 0.99868315, 0.99164206, 0.9571675, 0.8854845, 0.7777595, 0.6493681, 0.5208072, 0.4064994, 0.3119639, 0.23687835, 0.17850955, 0.13365847, 0.0994371, 0.073469736
